file;argcount;prob;ca_sol_n;ca_time_ns;m_sol_n;m_time_ns
T-2-afinput_exp_cycles_indvary3_step1_batch_yyy04;;;1;3501095500;1;647162900
A-1-grd_418_2_9;;;2;34007700;2;31006400
A-1-admbuster_6000;;;1;74016800;1;76017100
A-1-caravan-or-us.gml.80;;;129;36007000;129;32008100
Small-result-b73;;;2;36008300;2;29006900
T-1-BA_40_50_2;;;56;47010700;56;40009300
Small-result-b22;;;2;37007800;2;32007700
Small-result-b56;;;5;42009900;5;30006100
Small-result-b42;;;3;40008700;3;29005800
C-1-ER_100_100_3;;;1;55011800;1;43010200
A-1-afinput_exp_acyclic_indvary3_step1_batch_yyy10;;;1;38008500;1;38008700
T-2-afinput_exp_acyclic_depvary_step5_batch_yyy03;;;1;1457494100;1;315071200
B-3-stb_390_450;;;1;1908626900;1;4253955400
Small-result-b90;;;3;41563500;3;41690000
C-2-stb_304_352;;;2;11615607800;2;21437812200
T-4-afinput_exp_acyclic_depvary_step8_batch_yyy09;;;1;25951838500;1;3138704700
T-1-BA_20_60_3;;;40;37008100;40;31006700
C-1-grd_8034_1_2;;;1;939035400;1;1199269000
Small-result-b62;;;4;40009100;4;33008200
T-3-afinput_exp_cycles_indvary2_step1_batch_yyy10;;;1;9439588300;1;1400305100
A-1-ferry2.pfile-L2-C1-05.pddl.3.cnf;;;24;36008500;24;30006500
Small-result-b95;;;3;42008600;3;36008500
Small-result-b105;;;3;40502700;3;32007600
Small-result-b24;;;2;39887900;2;34008000
Small-result-b92;;;3;44010100;3;34007500
Small-result-b94;;;3;41009500;3;33007300
T-1-afinput_exp_acyclic_indvary1_step3_batch_yyy10;;;1;39007800;1;30006500
B-2-stb_410_118;;;3;577120900;3;1269259600
B-2-stb_287_202;;;1;1284288500;1;2320863300
A-1-stb_389_42;;;7;49012000;7;43009700
B-1-BA_120_20_2;;;60;36008100;60;31007200
A-2-WS_300_16_90_30;;;2;3256446500;2;4830083800
C-1-stb_234_487;;;2;43009600;2;36007500
Small-result-b86;;;3;34008300;3;27005900
T-1-stb_192_170;;;2;40008400;2;33007200
T-3-afinput_exp_cycles_depvary_step4_batch_yyy05;;;1;8797422700;1;1327438500
Small-result-b108;;;3;57011200;3;35007400
Small-result-b41;;;3;36009000;3;29007800
n256p5q2_e;;;18;12007984400;18;15331317200
B-1-ferry2.pfile-L2-C1-02.pddl.2.cnf;;;32;41008800;32;34263500
T-1-cascadespoint-or-us.gml.20;;;1;36007400;1;26005900
B-1-grd_1948_5_1;;;1;281062600;1;334074900
Small-result-b66;;;2;36008300;2;30006900
A-3-grd_8034_1_2;;;1;938774800;1;1215272500
B-3-WS_300_16_70_30;;;2;7145616700;2;10841872100
Small-result-b45;;;3;38007400;3;28004700
A-2-stb_428_430;;;2;4744065100;2;8517582100
C-1-grd_489_5_8;;;1;45092400;1;44009800
Small-result-b58;;;2;38008000;2;29006500
Medium-result-b24;;;8;923781900;8;283062700
Small-result-b87;;;3;35778000;3;28006400
Small-result-b17;;;2;37670800;2;28006800
Small-result-b43;;;3;35008300;3;28006500
T-2-grd_5178_1_1;;;1;319072200;1;469105700
Small-result-b26;;;2;67014700;2;52011700
Small-result-b107;;;3;42009500;3;35008400
Small-result-b30;;;2;31006900;2;28006700
