file;argcount;prob;ca_sol_n;ca_time_ns;m_sol_n;m_time_ns
B-1-massachusetts-archiver_20090912_0208.gml.50;;;576;50011300;576;42009200
Small-result-b15;;;2;37008100;2;30007100
T-2-grd_4383_1_10;;;1;141032000;1;452101400
Small-result-b61;;;4;26005600;4;31006800
T-3-afinput_exp_cycles_indvary2_step1_batch_yyy10;;;0;307975800;0;1687380400
Small-result-b17;;;2;26006400;2;26007900
B-3-stb_696_412;;;5;600257300;5;952214400
n100p3q34ve;;;473;346077600;473;430097100
T-1-BA_100_10_5;;;2;29006100;2;32007400
B-3-stb_590_330;;;1;592142600;1;739175100
T-2-admbuster_10000;;;1;109024600;1;148033500
B-1-BA_100_20_1;;;96;30006900;96;31006500
Small-result-b108;;;3;33007500;3;34008100
C-2-stb_304_352;;;2;7294639200;2;13393006800
C-1-admbuster_6000;;;1;68024300;1;97011800
A-1-stb_291_2;;;3;525117500;3;716161100
T-1-admbuster_4000;;;1;56012800;1;73016000
Small-result-b69;;;3;26005800;3;29006600
Small-result-b90;;;3;30006700;3;29445500
A-1-rockland-county-department-of-public-transportation_20121220_2018.gml.20;;;2;30006900;2;28007400
Small-result-b93;;;3;31006600;3;37007700
A-4-grd_7891_3_9;;;1;930208600;1;4490008200
A-3-afinput_exp_acyclic_depvary_step6_batch_yyy04;;;1;212048300;1;1088244900
C-1-afinput_exp_cycles_indvary1_step6_batch_yyy02;;;1;26005200;1;33007700
T-1-afinput_exp_acyclic_indvary1_step3_batch_yyy10;;;1;35007900;1;29003900
T-4-grd_8020_3_4;;;1;957337400;1;4520400000
A-2-stb_547_485;;;5;2524141600;5;3419767600
T-1-caravan-airport-transportation_20151216_1604.gml.20;;;4;29006400;4;28006100
T-1-BA_80_30_3;;;768;67015600;768;53012900
Small-result-b78;;;3;30006300;3;33006900
Small-result-b34;;;4;28006300;4;31007300
A-2-grd_3018_3_7;;;1;172336000;1;600143900
B-2-BA_140_30_5;;;768;74016300;768;52011500
B-3-stb_327_100;;;2;7272631200;2;13284982000
Small-result-b95;;;3;32007300;3;33007900
Medium-result-b2;;;15;259801300;15;686791500
C-1-WS_200_28_70_10;;;1;1032879300;1;2080467500
Small-result-b68;;;3;30006800;3;30006800
Small-result-b16;;;2;28006200;2;31006800
T-2-stb_265_466;;;3;2849640200;3;4634040500
T-1-grd_2130_2_7;;;1;77017300;1;214048800
B-1-ferry2.pfile-L2-C1-02.pddl.2.cnf;;;32;32007200;32;31007300
Small-result-b11;;;2;26006200;2;29006100
Small-result-b58;;;2;28006300;2;31006200
C-1-grd_5178_1_1;;;1;189042300;1;620139300
Small-result-b10;;;2;26267500;2;31007500
Small-result-b104;;;3;31006000;3;33007000
Small-result-b88;;;3;33007000;3;36007500
Small-result-b63;;;4;30006300;4;30007100
Small-result-b79;;;3;30006700;3;32007000
T-1-stb_127_253;;;7;28006000;7;33007400
T-1-grd_1222_5_4;;;1;65014200;1;172039100
C-1-ER_100_100_3;;;0;33007100;0;44010700
C-1-BA_60_60_2;;;256;43009800;256;31007000
Small-result-b20;;;2;28006500;2;26005700
A-1-admbuster_2000;;;1;41009100;1;55010600
A-2-afinput_exp_acyclic_depvary_step6_batch_yyy05;;;1;231056000;1;1335298800
C-1-BA_80_20_4;;;4;32007300;4;31007300
Small-result-b92;;;3;28006200;3;37755700
n320p5q2_n;;;17;69978341100;17;67362180000
T-3-afinput_exp_cycles_indvary1_step2_batch_yyy01;;;1;239294600;1;1376308200
Small-result-b31;;;2;26005900;2;26005500
T-3-afinput_exp_cycles_indvary1_step1_batch_yyy02;;;1;217048400;1;1113258900
A-1-admbuster_1000;;;1;39009100;1;39008300
Small-result-b22;;;2;28007200;2;30007300
Small-result-b98;;;3;30006800;3;34007600
A-1-admbuster_6000;;;1;70015400;1;99022800
T-1-admbuster_6000;;;1;68014400;1;96023400
A-1-grd_418_2_9;;;2;33008000;2;36008200
Small-result-b4;;;2;28006000;2;30006800
A-1-BA_120_30_3;;;512;55011600;512;47010400
Small-result-b86;;;3;29007200;3;25005700
T-1-stb_192_170;;;2;31006800;2;36008200
T-1-admbuster_2000;;;1;39008500;1;47010600
Small-result-b67;;;3;35007700;3;39008700
T-3-afinput_exp_cycles_depvary_step4_batch_yyy04;;;1;252058600;1;1477331400
A-1-admbuster_4000;;;1;54012200;1;74017200
C-1-afinput_exp_acyclic_indvary1_step5_batch_yyy07;;;1;29007000;1;31006600
n192p5q2_ve;;;16;1988445600;16;2473035800
A-3-afinput_exp_cycles_indvary2_step1_batch_yyy04;;;0;295980200;0;1747404500
B-2-afinput_exp_acyclic_indvary2_step2_batch_yyy10;;;1;421094600;1;2622587200
Small-result-b105;;;3;29006200;3;34009000
B-3-stb_380_405;;;1;1379309300;1;2265343600
B-1-university-of-pretoria_20150805_1406.normalized.gml.80;;;12;28006100;12;30007100
T-1-afinput_exp_acyclic_indvary1_step3_batch_yyy03;;;1;33006100;1;37009500
A-3-bw2.pfile-4-02.pddl.2.cnf;;;69;61013900;69;65014800
C-1-calaveras-transit_20151216_1707.gml.50;;;375;41009400;375;37007600
Small-result-b39;;;2;29005100;2;29005800
A-1-BA_200_10_5;;;32;30006000;32;32007800
T-3-afinput_exp_cycles_indvary2_step1_batch_yyy03;;;1;254056000;1;1453327700
Small-result-b35;;;3;36008400;3;32008100
C-1-BA_120_20_5;;;192;41010600;192;45011500
Small-result-b6;;;2;33007600;2;37008900
Small-result-b9;;;2;28006700;2;25005500
A-1-afinput_exp_acyclic_indvary1_step5_batch_yyy09;;;1;41009000;1;43010400
n256p3q08n;;;3;61264753600;3;127058523100
Small-result-b37;;;4;27006400;4;31006900
Small-result-b49;;;3;27006200;3;30006900
B-1-BA_40_80_4;;;64;39007800;64;29006900
C-1-stb_463_93;;;3;110024700;3;107023900
T-3-afinput_exp_cycles_depvary_step3_batch_yyy08;;;1;239063400;1;1384310800
B-1-ferry2.pfile-L2-C2-06.pddl.2.cnf;;;10;28006600;10;32007000
T-4-afinput_exp_acyclic_depvary_step8_batch_yyy09;;;1;538120400;1;3649820000
C-1-bluestar-or-us.gml.20;;;4;27006200;4;26005400
Small-result-b85;;;3;26006000;3;29006500
C-1-grd_3018_3_7;;;1;177040100;1;602134800
A-2-stb_422_250;;;1;2595896600;1;5613259500
A-1-stb_437_137;;;4;34007000;4;37008500
T-3-afinput_exp_cycles_depvary_step4_batch_yyy05;;;0;272391400;0;1590366700
A-2-grd_5178_1_1;;;1;183808800;1;609137400
B-2-afinput_exp_cycles_indvary2_step1_batch_yyy01;;;1;412251900;1;2513422000
B-3-WS_300_16_70_30;;;2;5171159000;2;6562482900
A-2-BA_180_20_1;;;512;61014200;512;44010200
T-2-admbuster_8000;;;1;95021300;1;121026900
A-3-afinput_exp_cycles_indvary1_step3_batch_yyy02;;;1;204046400;1;1040233800
A-4-afinput_exp_acyclic_indvary1_step2_batch_yyy07;;;1;627141000;1;4345975700
T-3-afinput_exp_cycles_indvary2_step1_batch_yyy04;;;0;305440500;0;1719396000
T-3-afinput_exp_acyclic_depvary_step6_batch_yyy04;;;1;208047300;1;1089244200
Medium-result-b25;;;8;198913500;8;610137400
A-2-admbuster_10000;;;1;105022800;1;157035400
B-3-stb_339_393;;;10;5608262200;10;9707189800
B-3-stb_522_11;;;8;212047000;8;270060700
B-1-stb_199_128;;;4;30007800;4;28006700
Small-result-b12;;;2;30006200;2;31007400
T-1-BA_40_50_2;;;56;32007200;56;32007300
C-2-afinput_exp_acyclic_indvary1_step2_batch_yyy07;;;1;618138200;1;4355978300
T-2-afinput_exp_cycles_indvary3_step1_batch_yyy04;;;1;167127800;1;816089900
